Restaurant,Rating,Cuisine,Delivery_Time,Location,Distance_km,Restaurant_ID,Delivery_Category
Pizza Hut,4.5,Pizzas,28,Kachiguda,1.6,408177,Medium Delivery
Wow! Momo,4.3,"Momos,Chinese,fastfood,Asian,Beverages",30,Himayath Nagar,2.7,360967,Medium Delivery
Barbeque Nation,3.9,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",42,ABIDS,1.6,603116,Slow Delivery
Domino's Pizza,4.6,"Pizzas,Italian,Pastas,Desserts",25,Kachiguda,3.0,28768,Fast Delivery
NIC Ice Creams,4.6,"Ice Cream,Desserts",21,Narayanguda,1.8,108986,Fast Delivery
Pista House Haleem,4.6,"Haleem,Biryani,Hyderabadi",28,Nallakunta & Vidyanagar,2.7,370408,Medium Delivery
Lucky Restaurant,4.0,"Biryani,Tandoor",40,Banjara Hills,4.7,367769,Slow Delivery
Dum Safar Biryani,4.1,"Biryani,Hyderabadi,Kebabs,North Indian,barbeque",35,ABIDS,1.6,639526,Medium Delivery
Natural Ice Cream,4.7,"Ice Cream,Desserts",34,Himayat Nagar,3.6,560732,Medium Delivery
Baskin Robbins - Ice Cream Desserts,4.7,"Desserts,Ice Cream",30,Himayatnagar,2.8,356688,Medium Delivery
Royal Tiffin Centre,4.1,South Indian,35,Abids & Koti,1.2,16158,Medium Delivery
Al Rabea Al Arabi Cafeteria,4.5,"Lebanese,Arabian",33,Santoshnagar & Saidabad,5.8,109168,Medium Delivery
Taj Mahal-Abids,4.6,"South Indian,North Indian,Biryani,Snacks",34,Abids,1.6,7203,Medium Delivery
Go Zero Ice Creams & Desserts,3.9,"Ice Cream,Desserts,Healthy Food",31,Abids,1.9,853135,Medium Delivery
Imperial Multicuisine Restaurant,4.2,"Biryani,Chinese,Indian,Kebabs,Tandoor",35,Redhills,3.7,262087,Medium Delivery
Grameen Kulfi,4.7,"Ice Cream,Desserts",25,Narayanguda,1.8,355747,Fast Delivery
Capital Multi Cuisine Restaurant,3.8,"Haleem,Biryani,Kebabs",30,Malakpet,3.7,57903,Medium Delivery
Haiking Chinese Restaurant,4.3,"Chinese,Asian,Seafood,Pan-Asian",36,Himayath Nagar,2.7,296084,Slow Delivery
Subway,4.1,"sandwich,Salads,wrap,Healthy Food",35,Himayath Nagar,2.7,12046,Medium Delivery
KFC,4.1,"Burgers,Fast Food,Rolls & Wraps",27,Kachiguda,1.8,419707,Medium Delivery
Raju Gari Biryani,4.0,"Chinese,Biryani",35,Kothapet & Dilsukhnagar,6.2,991080,Medium Delivery
Pista House Haleem,4.6,Haleem,26,Abids,1.6,521425,Medium Delivery
